unit,factor,r,p,bucket,partial_r,partial_p
55,genre_entropy,-0.2587611060793201,2.644261447090514e-77,moderate,-0.25962567439283274,7.932709289465345e-78
56,genre_entropy,-0.17800304190479233,7.161711278785562e-37,moderate,-0.18131323977522387,3.2597574151320524e-38
57,genre_entropy,-0.03992690971968009,0.004747592860509706,weak,-0.04204641180856175,0.002942307417619701
58,genre_entropy,-0.12000846754336085,1.6724510983827048e-17,moderate,-0.12386850389603188,1.4888554228945338e-18
59,genre_entropy,-0.040334813684207854,0.004337003106047427,weak,-0.04229351377143806,0.002778892168444367
60,genre_entropy,-0.06920386629384079,9.676700590112465e-07,weak,-0.07227609770284084,3.119081443699907e-07
61,genre_entropy,-0.03988924654001459,0.004787224082262571,weak,-0.04204415925023726,0.0029438366018568196
62,genre_entropy,-0.24957346982151085,7.192707716938274e-72,moderate,-0.2509601705143364,1.1242655042563655e-72
63,genre_entropy,-0.038780068197598785,0.006097142986341143,weak,-0.040959690350499706,0.003770153372344012
64,genre_entropy,-0.10030469213106007,1.1707921718849082e-12,moderate,-0.10399426217261704,1.685156569523647e-13
65,genre_entropy,-0.04694496965173575,0.0008985271070092872,weak,-0.04931156455613174,0.0004864582016063121
66,genre_entropy,-0.1588441667580507,1.297490935117961e-29,moderate,-0.16263468234691303,5.564380703462057e-31
67,genre_entropy,-0.06601585604615814,2.983454875979866e-06,weak,-0.06926258284236204,9.473674637053268e-07
68,genre_entropy,-0.2551571553831923,3.807167539544993e-75,moderate,-0.2567368137051127,4.353339476219543e-76
69,genre_entropy,-0.26508189239036345,3.5777491026809424e-81,moderate,-0.2660178991102658,9.36781848153184e-82
70,genre_entropy,-0.26819056700829536,4.089638528934733e-83,moderate,-0.2695809586296186,5.42892035587611e-84
71,genre_entropy,-0.19700592549657087,6.23317291897416e-45,moderate,-0.19939801731582601,5.2277653441299996e-46
72,genre_entropy,-0.10625802655256211,4.957517470666552e-14,moderate,-0.11033622708016005,5.1212949158304535e-15
73,genre_entropy,-0.032337735273722495,0.02221629157022372,weak,-0.034204999228712674,0.015573439347922331
74,genre_entropy,-0.0603443317651259,1.9563691046027102e-05,weak,-0.06347193184842118,7.0706582909185564e-06
75,genre_entropy,-0.15410945598644016,5.950501744467852e-28,moderate,-0.157708365956983,3.2840493631812377e-29
76,genre_entropy,-0.16177392015060554,1.1453414685593495e-30,moderate,-0.16551641507007558,4.821627634202432e-32
77,genre_entropy,-0.03859374992182982,0.006346418535263688,weak,-0.04114786737022372,0.0036131479764599118
78,genre_entropy,-0.04249573967512255,0.0026513683792946095,weak,-0.044600256482736855,0.0016077584935955225
79,genre_entropy,-0.2642697954875352,1.1392935993918599e-80,moderate,-0.2658945473922694,1.1180678097132282e-81
80,genre_entropy,-0.11905622076907216,3.001727052464966e-17,moderate,-0.12303795064365694,2.521787230483195e-18
81,genre_entropy,-0.167340479985054,1.0018069984912719e-32,moderate,-0.17103903332688994,3.918459280929559e-34
82,genre_entropy,-0.020845783224837024,0.140532471396031,weak,-0.022015507389635605,0.11958190917539027
83,genre_entropy,-0.23417360734003154,2.967917085520898e-63,moderate,-0.23626144019438436,2.188864774269963e-64
84,genre_entropy,-0.04475660083644646,0.0015478231808117029,weak,-0.04725434214218429,0.0008305181074824431
85,genre_entropy,-0.18018431786476058,9.413235169887625e-38,moderate,-0.1838746226002838,2.8639944752375946e-39
86,genre_entropy,-0.040161635313248394,0.004507221369299971,weak,-0.042342553575613354,0.0027474634268591725
87,genre_entropy,-0.22123713489620658,1.7413060327968188e-56,moderate,-0.22473930949564358,2.8202288295727034e-58
88,genre_entropy,-0.253582527977839,3.257086805957654e-74,moderate,-0.2547751685273618,6.41726897326339e-75
89,genre_entropy,-0.0762855693257427,6.637154839481317e-08,weak,-0.07895576231533452,2.266147269684102e-08
90,genre_entropy,-0.10365458432023103,2.020213255203278e-13,moderate,-0.10742849546604703,2.6066169020656775e-14
91,genre_entropy,-0.082464702157848,5.231845802106069e-09,weak,-0.08466175018695651,2.0253656006535875e-09
92,genre_entropy,-0.22211626387444056,6.227196580645834e-57,moderate,-0.22527414971271031,1.4931852394306002e-58
93,genre_entropy,-0.10356079250698363,2.1237272807953098e-13,moderate,-0.10735325375098465,2.7171614700314057e-14
94,genre_entropy,-0.24669736084598742,3.2555000619432225e-70,moderate,-0.2484202731888668,3.3370311695217514e-71
95,genre_entropy,-0.10664746783098006,4.005980378493993e-14,moderate,-0.11070246007720523,4.159498407005186e-15
96,genre_entropy,-0.09764724278262357,4.531856766979057e-12,weak,-0.10157856295124612,6.042434612757613e-13
97,genre_entropy,-0.23215912007659212,3.5838543599107597e-62,moderate,-0.23401954145645812,3.593850922749125e-63
98,genre_entropy,-0.23187436508590792,5.086813930955654e-62,moderate,-0.23426223245794298,2.6583791976984434e-63
99,genre_entropy,-0.25167352794386155,4.3078967778191205e-73,moderate,-0.25319696336292513,5.4966753871410586e-74
100,genre_entropy,-0.09449652633139419,2.1533478947056874e-11,weak,-0.09667116275852587,7.383844274198534e-12
101,genre_entropy,-0.1811894669831642,3.662922415706889e-38,moderate,-0.18433643434169422,1.8402264476807815e-39
102,genre_entropy,-0.2559760041137157,1.2394641877490952e-75,moderate,-0.2580991277562869,6.627071112635016e-77
103,genre_entropy,-0.19887360496972112,9.025745483757071e-46,moderate,-0.20196715752284622,3.5214540277837967e-47
104,genre_entropy,-0.22944539385114704,9.895589157736028e-61,moderate,-0.23161535237327507,6.992175885465379e-62
105,genre_entropy,-0.21243137557561123,4.050130732577976e-52,moderate,-0.21453328650042666,3.8258167666069814e-53
106,genre_entropy,-0.16189953847703883,1.0310705390655288e-30,moderate,-0.1653118455187686,5.744336239207395e-32
107,genre_entropy,-0.03469289185793012,0.014155891606124618,weak,-0.03637912633724136,0.010093748952862937
108,genre_entropy,-0.05846491501513615,3.5249191495666845e-05,weak,-0.061572812196357414,1.3191699300687233e-05
109,genre_entropy,-0.2018422033078719,4.0186233591826414e-47,moderate,-0.20584642665058775,5.5856907117270535e-49
110,genre_entropy,-0.2465917075829554,3.741361732898544e-70,moderate,-0.24789138440736833,6.727592608129776e-71
111,genre_entropy,-0.140913185101382,1.3558895111425086e-23,moderate,-0.1447510244588594,8.056303108071485e-25
112,genre_entropy,-0.24623763523313905,5.960388777378832e-70,moderate,-0.24831758649850444,3.824173843519496e-71
113,genre_entropy,-0.2363996348205497,1.8402721365753462e-64,moderate,-0.23829397488184956,1.6874920328406483e-65
114,genre_entropy,-0.22652216597734776,3.364179112364657e-59,moderate,-0.2285447079289934,2.9485296721360826e-60
115,genre_entropy,-0.09655952015739952,7.805458742162771e-12,weak,-0.09986678665318437,1.466920965497525e-12
116,genre_entropy,-0.12839393791558862,7.918170910903239e-20,moderate,-0.1320842023625427,6.688989068437666e-21
117,genre_entropy,-0.20272747309796224,1.5736429759217601e-47,moderate,-0.20513450784824847,1.2025705422997453e-48
118,genre_entropy,-0.2578828134771691,8.94244694842813e-77,moderate,-0.2594423344793587,1.0244002550167858e-77
119,genre_entropy,-0.16654430753565266,1.9934408347945404e-32,moderate,-0.17028531557467008,7.631169830847863e-34
120,genre_entropy,-0.024712604209688727,0.08058966255632198,weak,-0.0259146267222242,0.06690817284592451
121,genre_entropy,-0.24738895278176531,1.307527854724686e-70,moderate,-0.24868783132353625,2.3390512010827096e-71
122,genre_entropy,-0.2050765617050203,1.2798610848984184e-48,moderate,-0.20798129294282663,5.507070161040272e-50
123,genre_entropy,-0.14085083595253817,1.4186171440671898e-23,moderate,-0.1447008172817615,8.363601836362435e-25
124,genre_entropy,-0.06591985156551174,3.083972440493267e-06,weak,-0.06929032480687193,9.379182535211916e-07
125,genre_entropy,-0.12901182184939142,5.260974122443397e-20,moderate,-0.13323631467099867,3.047704500262204e-21
126,genre_entropy,-0.03733007693811001,0.008293167890782596,weak,-0.039333984335816585,0.005407271195828663
127,genre_entropy,-0.20742910751876661,1.0051698917691245e-49,moderate,-0.20998724306362837,6.099424856279034e-51
0,contrarian_bias,0.5791998357413022,0.0,strong,0.5754662613556916,0.0
1,contrarian_bias,0.4357739513756809,7.117959510804154e-231,strong,0.43358595113196424,2.5112820077240538e-228
2,contrarian_bias,0.6198948623194702,0.0,strong,0.6166007946774805,0.0
3,contrarian_bias,0.16207314873435352,8.915425599933874e-31,moderate,0.1581297198720084,2.328859139021857e-29
4,contrarian_bias,0.2370175209017707,8.461397828631302e-65,moderate,0.2327070701411414,1.8242895712892561e-62
5,contrarian_bias,0.37696761370399273,1.3431669216221685e-168,strong,0.3726327115400264,1.7225156549441287e-164
